Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
1,Fri,1968-09-06,,San Diego Chargers,,Cincinnati Bengals,boxscore,29,13,554,2,226,2
1,Sun,1968-09-08,,Boston Patriots,@,Buffalo Bills,boxscore,16,7,195,3,191,4
1,Mon,1968-09-09,,Kansas City Chiefs,@,Houston Oilers,boxscore,26,21,265,0,440,3
2,Sat,1968-09-14,,Houston Oilers,@,Miami Dolphins,boxscore,24,10,396,3,295,4
2,Sun,1968-09-15,,Oakland Raiders,@,Buffalo Bills,boxscore,48,6,411,1,191,1
2,Sun,1968-09-15,,New York Jets,@,Kansas City Chiefs,boxscore,20,19,397,2,201,1
2,Sun,1968-09-15,,Cincinnati Bengals,,Denver Broncos,boxscore,24,10,289,0,199,1
3,Sat,1968-09-21,,Oakland Raiders,@,Miami Dolphins,boxscore,47,21,542,1,349,5
3,Sat,1968-09-21,,San Diego Chargers,,Houston Oilers,boxscore,30,14,347,3,285,3
3,Sun,1968-09-22,,New York Jets,@,Boston Patriots,boxscore,47,31,268,3,359,6
3,Sun,1968-09-22,,Kansas City Chiefs,,Denver Broncos,boxscore,34,2,341,2,245,4
3,Sun,1968-09-22,,Cincinnati Bengals,,Buffalo Bills,boxscore,34,23,201,2,215,2
4,Sat,1968-09-28,,Kansas City Chiefs,@,Miami Dolphins,boxscore,48,3,431,3,234,6
4,Sun,1968-09-29,,Boston Patriots,@,Denver Broncos,boxscore,20,17,212,1,234,3
4,Sun,1968-09-29,,San Diego Chargers,@,Cincinnati Bengals,boxscore,31,10,302,1,195,2
4,Sun,1968-09-29,,Buffalo Bills,,New York Jets,boxscore,37,35,197,2,427,6
4,Sun,1968-09-29,,Oakland Raiders,@,Houston Oilers,boxscore,24,15,305,3,324,4
5,Sat,1968-10-05,,New York Jets,,San Diego Chargers,boxscore,23,20,302,0,347,4
5,Sat,1968-10-05,,Kansas City Chiefs,@,Buffalo Bills,boxscore,18,7,353,2,251,5
5,Sun,1968-10-06,,Oakland Raiders,,Boston Patriots,boxscore,41,10,451,2,146,2
5,Sun,1968-10-06,,Miami Dolphins,@,Houston Oilers,boxscore,24,7,257,1,212,7
5,Sun,1968-10-06,,Denver Broncos,,Cincinnati Bengals,boxscore,10,7,211,0,247,1
6,Sat,1968-10-12,,Miami Dolphins,,Buffalo Bills,boxscore,14,14,171,2,237,3
6,Sun,1968-10-13,,Denver Broncos,@,New York Jets,boxscore,21,13,222,0,460,5
6,Sun,1968-10-13,,San Diego Chargers,@,Oakland Raiders,boxscore,23,14,384,1,260,5
6,Sun,1968-10-13,,Houston Oilers,@,Boston Patriots,boxscore,16,0,280,1,114,5
6,Sun,1968-10-13,,Kansas City Chiefs,,Cincinnati Bengals,boxscore,13,3,265,2,116,1
7,Sun,1968-10-20,,New York Jets,@,Houston Oilers,boxscore,20,14,231,0,141,2
7,Sun,1968-10-20,,San Diego Chargers,,Denver Broncos,boxscore,55,24,581,1,476,5
7,Sun,1968-10-20,,Kansas City Chiefs,,Oakland Raiders,boxscore,24,10,310,0,222,2
7,Sun,1968-10-20,,Boston Patriots,,Buffalo Bills,boxscore,23,6,299,2,203,5
7,Sun,1968-10-20,,Miami Dolphins,@,Cincinnati Bengals,boxscore,24,22,296,0,327,3
8,Sun,1968-10-27,,Denver Broncos,,Miami Dolphins,boxscore,21,14,323,4,340,4
8,Sun,1968-10-27,,New York Jets,,Boston Patriots,boxscore,48,14,356,3,226,8
8,Sun,1968-10-27,,Oakland Raiders,,Cincinnati Bengals,boxscore,31,10,439,3,228,2
8,Sun,1968-10-27,,Kansas City Chiefs,,San Diego Chargers,boxscore,27,20,374,1,395,4
8,Sun,1968-10-27,,Houston Oilers,@,Buffalo Bills,boxscore,30,7,332,0,113,3
9,Sun,1968-11-03,,Denver Broncos,@,Boston Patriots,boxscore,35,14,470,4,175,4
9,Sun,1968-11-03,,San Diego Chargers,,Miami Dolphins,boxscore,34,28,479,2,352,1
9,Sun,1968-11-03,,New York Jets,,Buffalo Bills,boxscore,25,21,274,1,196,5
9,Sun,1968-11-03,,Houston Oilers,@,Cincinnati Bengals,boxscore,27,17,361,0,374,0
9,Sun,1968-11-03,,Oakland Raiders,,Kansas City Chiefs,boxscore,38,21,539,3,327,3
10,Sun,1968-11-10,,Oakland Raiders,@,Denver Broncos,boxscore,43,7,487,2,175,3
10,Sun,1968-11-10,,New York Jets,,Houston Oilers,boxscore,26,7,311,1,166,3
10,Sun,1968-11-10,,San Diego Chargers,@,Boston Patriots,boxscore,27,17,319,4,228,4
10,Sun,1968-11-10,,Miami Dolphins,@,Buffalo Bills,boxscore,21,17,305,2,274,3
10,Sun,1968-11-10,,Kansas City Chiefs,@,Cincinnati Bengals,boxscore,16,9,304,1,283,2
11,Sun,1968-11-17,,Oakland Raiders,,New York Jets,boxscore,43,32,437,4,413,1
11,Sun,1968-11-17,,Houston Oilers,,Denver Broncos,boxscore,38,17,377,2,228,2
11,Sun,1968-11-17,,Kansas City Chiefs,,Boston Patriots,boxscore,31,17,339,6,262,4
11,Sun,1968-11-17,,San Diego Chargers,@,Buffalo Bills,boxscore,21,6,282,5,151,1
11,Sun,1968-11-17,,Cincinnati Bengals,@,Miami Dolphins,boxscore,38,21,422,1,326,2
12,Sun,1968-11-24,,New York Jets,@,San Diego Chargers,boxscore,37,15,510,1,235,4
12,Sun,1968-11-24,,Miami Dolphins,@,Boston Patriots,boxscore,34,10,391,0,337,3
12,Sun,1968-11-24,,Denver Broncos,,Buffalo Bills,boxscore,34,32,386,3,220,2
12,Sun,1968-11-24,,Oakland Raiders,@,Cincinnati Bengals,boxscore,34,0,604,1,148,3
13,Thu,1968-11-28,,Kansas City Chiefs,,Houston Oilers,boxscore,24,10,321,1,244,2
13,Thu,1968-11-28,,Oakland Raiders,,Buffalo Bills,boxscore,13,10,186,2,343,4
13,Sun,1968-12-01,,San Diego Chargers,@,Denver Broncos,boxscore,47,23,496,1,287,2
13,Sun,1968-12-01,,New York Jets,,Miami Dolphins,boxscore,35,17,380,0,341,1
13,Sun,1968-12-01,,Boston Patriots,,Cincinnati Bengals,boxscore,33,14,271,2,212,1
14,Sat,1968-12-07,,Houston Oilers,,Buffalo Bills,boxscore,35,6,403,4,89,2
14,Sun,1968-12-08,,Miami Dolphins,,Boston Patriots,boxscore,38,7,312,0,177,4
14,Sun,1968-12-08,,Kansas City Chiefs,@,San Diego Chargers,boxscore,40,3,371,4,211,7
14,Sun,1968-12-08,,Oakland Raiders,,Denver Broncos,boxscore,33,27,497,6,267,5
14,Sun,1968-12-08,,New York Jets,,Cincinnati Bengals,boxscore,27,14,371,2,158,1
15,Sat,1968-12-14,,Kansas City Chiefs,@,Denver Broncos,boxscore,30,7,302,1,249,4
15,Sun,1968-12-15,,New York Jets,@,Miami Dolphins,boxscore,31,7,347,3,137,2
15,Sun,1968-12-15,,Houston Oilers,,Boston Patriots,boxscore,45,17,390,4,126,5
15,Sun,1968-12-15,,Oakland Raiders,@,San Diego Chargers,boxscore,34,27,316,4,456,6
,,Playoffs,,,,,,,,,,,
Division,Sun,1968-12-22,,Oakland Raiders,,Kansas City Chiefs,boxscore,41,6,454,0,312,4
Champ,Sun,1968-12-29,,New York Jets,,Oakland Raiders,boxscore,27,23,400,2,443,0
SuperBowl,Sun,1969-01-12,,New York Jets,N,Baltimore Colts,boxscore,16,7,337,1,324,5
