 
Week,Day,Date,Time,Winner/tie,,Loser/tie,,Pts,Pts.1,YdsW,TOW,YdsL,TOL
1,Sat,1968-09-14,,Minnesota Vikings,,Atlanta Falcons,boxscore,47,7,404,2,234,4
1,Sun,1968-09-15,,Washington Redskins,@,Chicago Bears,boxscore,38,28,337,1,316,3
1,Sun,1968-09-15,,Cleveland Browns,@,New Orleans Saints,boxscore,24,10,338,3,208,3
1,Sun,1968-09-15,,Baltimore Colts,,San Francisco 49ers,boxscore,27,10,346,1,272,3
1,Sun,1968-09-15,,Dallas Cowboys,,Detroit Lions,boxscore,59,13,542,0,257,4
1,Sun,1968-09-15,,Green Bay Packers,,Philadelphia Eagles,boxscore,30,13,378,1,278,1
1,Sun,1968-09-15,,New York Giants,@,Pittsburgh Steelers,boxscore,34,20,331,2,324,4
1,Mon,1968-09-16,,Los Angeles Rams,@,St. Louis Cardinals,boxscore,24,13,238,1,244,3
2,Sun,1968-09-22,,Baltimore Colts,@,Atlanta Falcons,boxscore,28,20,388,6,250,2
2,Sun,1968-09-22,,Detroit Lions,,Chicago Bears,boxscore,42,0,468,2,167,10
2,Sun,1968-09-22,,Dallas Cowboys,,Cleveland Browns,boxscore,28,7,346,1,250,2
2,Sun,1968-09-22,,San Francisco 49ers,,St. Louis Cardinals,boxscore,35,17,395,3,228,4
2,Sun,1968-09-22,,Minnesota Vikings,@,Green Bay Packers,boxscore,26,13,242,1,242,2
2,Sun,1968-09-22,,New Orleans Saints,,Washington Redskins,boxscore,37,17,366,3,228,3
2,Sun,1968-09-22,,New York Giants,@,Philadelphia Eagles,boxscore,34,25,377,1,326,3
2,Sun,1968-09-22,,Los Angeles Rams,,Pittsburgh Steelers,boxscore,45,10,378,0,258,3
3,Sun,1968-09-29,,San Francisco 49ers,,Atlanta Falcons,boxscore,28,13,374,1,227,1
3,Sun,1968-09-29,,Chicago Bears,@,Minnesota Vikings,boxscore,27,17,409,2,279,3
3,Sun,1968-09-29,,Los Angeles Rams,@,Cleveland Browns,boxscore,24,6,364,2,129,3
3,Sun,1968-09-29,,Baltimore Colts,@,Pittsburgh Steelers,boxscore,41,7,276,1,213,4
