Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,YdsW,TOW,YdsL,TOL,Combined_Pts
1,Sun,1969-09-14,,Kansas City Chiefs,@,San Diego Chargers,boxscore,273.0,3.0,295.0,5.0,27-9
1,Sun,1969-09-14,,Denver Broncos,,Boston Patriots,boxscore,321.0,0.0,326.0,4.0,35-7
1,Sun,1969-09-14,,Cincinnati Bengals,,Miami Dolphins,boxscore,227.0,1.0,360.0,2.0,27-21
1,Sun,1969-09-14,,Oakland Raiders,,Houston Oilers,boxscore,285.0,3.0,278.0,3.0,21-17
1,Sun,1969-09-14,,New York Jets,@,Buffalo Bills,boxscore,324.0,4.0,181.0,6.0,33-19
2,Sat,1969-09-20,,Oakland Raiders,,Miami Dolphins,boxscore,373.0,6.0,305.0,4.0,20-17
2,Sun,1969-09-21,,Houston Oilers,@,Buffalo Bills,boxscore,245.0,0.0,133.0,4.0,17-3
2,Sun,1969-09-21,,Kansas City Chiefs,@,Boston Patriots,boxscore,395.0,2.0,82.0,1.0,31-0
2,Sun,1969-09-21,,Denver Broncos,,New York Jets,boxscore,292.0,3.0,370.0,3.0,21-19
2,Sun,1969-09-21,,Cincinnati Bengals,,San Diego Chargers,boxscore,472.0,2.0,395.0,1.0,34-20
3,Sun,1969-09-28,,Buffalo Bills,,Denver Broncos,boxscore,406.0,1.0,302.0,5.0,41-28
3,Sun,1969-09-28,,San Diego Chargers,,New York Jets,boxscore,418.0,1.0,414.0,2.0,34-27
3,Sun,1969-09-28,,Cincinnati Bengals,,Kansas City Chiefs,boxscore,301.0,4.0,265.0,3.0,24-19
3,Sun,1969-09-28,,Oakland Raiders,@,Boston Patriots,boxscore,423.0,1.0,170.0,3.0,38-23
3,Sun,1969-09-28,,Houston Oilers,,Miami Dolphins,boxscore,298.0,0.0,216.0,2.0,22-10
4,Sat,1969-10-04,,San Diego Chargers,,Cincinnati Bengals,boxscore,413.0,3.0,221.0,1.0,21-14
4,Sat,1969-10-04,,Oakland Raiders,@,Miami Dolphins,boxscore,280.0,2.0,214.0,2.0,20-20
4,Sun,1969-10-05,,New York Jets,@,Boston Patriots,boxscore,309.0,1.0,203.0,3.0,23-14
4,Sun,1969-10-05,,Houston Oilers,,Buffalo Bills,boxscore,252.0,4.0,281.0,7.0,28-14
4,Sun,1969-10-05,,Kansas City Chiefs,@,Denver Broncos,boxscore,350.0,0.0,212.0,1.0,26-13
5,Sat,1969-10-11,,San Diego Chargers,@,Miami Dolphins,boxscore,281.0,1.0,205.0,3.0,21-14
5,Sat,1969-10-11,,Buffalo Bills,,Boston Patriots,boxscore,364.0,2.0,248.0,2.0,23-16
5,Sun,1969-10-12,,New York Jets,@,Cincinnati Bengals,boxscore,376.0,2.0,258.0,3.0,21-7
5,Sun,1969-10-12,,Oakland Raiders,@,Denver Broncos,boxscore,323.0,0.0,234.0,2.0,24-14
5,Sun,1969-10-12,,Kansas City Chiefs,,Houston Oilers,boxscore,244.0,7.0,101.0,9.0,24-0
6,Sun,1969-10-19,,Kansas City Chiefs,,Miami Dolphins,boxscore,403.0,2.0,236.0,3.0,17-10
6,Sun,1969-10-19,,Oakland Raiders,,Buffalo Bills,boxscore,404.0,2.0,392.0,7.0,50-21
6,Sun,1969-10-19,,San Diego Chargers,@,Boston Patriots,boxscore,334.0,2.0,217.0,2.0,13-10
6,Sun,1969-10-19,,Denver Broncos,@,Cincinnati Bengals,boxscore,421.0,3.0,256.0,3.0,30-23
6,Mon,1969-10-20,,New York Jets,,Houston Oilers,boxscore,447.0,3.0,377.0,3.0,26-17
7,Sun,1969-10-26,,New York Jets,,Boston Patriots,boxscore,318.0,3.0,211.0,2.0,23-17
7,Sun,1969-10-26,,Houston Oilers,,Denver Broncos,boxscore,458.0,2.0,314.0,0.0,24-21
7,Sun,1969-10-26,,Kansas City Chiefs,,Cincinnati Bengals,boxscore,508.0,3.0,196.0,2.0,42-22
7,Sun,1969-10-26,,Miami Dolphins,,Buffalo Bills,boxscore,353.0,4.0,276.0,4.0,24-6
7,Sun,1969-10-26,,Oakland Raiders,@,San Diego Chargers,boxscore,399.0,3.0,253.0,4.0,24-12
8,Sun,1969-11-02,,Boston Patriots,,Houston Oilers,boxscore,315.0,1.0,286.0,4.0,24-0
8,Sun,1969-11-02,,Cincinnati Bengals,,Oakland Raiders,boxscore,320.0,2.0,394.0,6.0,31-17
8,Sun,1969-11-02,,Denver Broncos,,San Diego Chargers,boxscore,313.0,2.0,70.0,0.0,13-0
8,Sun,1969-11-02,,New York Jets,,Miami Dolphins,boxscore,315.0,2.0,421.0,4.0,34-31
8,Sun,1969-11-02,,Kansas City Chiefs,@,Buffalo Bills,boxscore,245.0,3.0,144.0,6.0,29-7
9,Sun,1969-11-09,,Kansas City Chiefs,,San Diego Chargers,boxscore,308.0,3.0,174.0,5.0,27-3
9,Sun,1969-11-09,,New York Jets,,Buffalo Bills,boxscore,273.0,1.0,297.0,2.0,16-6
9,Sun,1969-11-09,,Miami Dolphins,@,Boston Patriots,boxscore,208.0,1.0,211.0,2.0,17-16
9,Sun,1969-11-09,,Oakland Raiders,,Denver Broncos,boxscore,359.0,0.0,302.0,1.0,41-10
9,Sun,1969-11-09,,Houston Oilers,,Cincinnati Bengals,boxscore,456.0,2.0,391.0,0.0,31-31
10,Sun,1969-11-16,,Oakland Raiders,,San Diego Chargers,boxscore,309.0,4.0,224.0,3.0,21-16
10,Sun,1969-11-16,,Buffalo Bills,,Miami Dolphins,boxscore,309.0,1.0,248.0,1.0,28-3
10,Sun,1969-11-16,,Boston Patriots,@,Cincinnati Bengals,boxscore,298.0,0.0,305.0,5.0,25-14
10,Sun,1969-11-16,,Houston Oilers,@,Denver Broncos,boxscore,454.0,5.0,212.0,2.0,20-20
10,Sun,1969-11-16,,Kansas City Chiefs,@,New York Jets,boxscore,424.0,1.0,410.0,5.0,34-16
11,Sun,1969-11-23,,Oakland Raiders,@,Kansas City Chiefs,boxscore,262.0,0.0,436.0,7.0,27-24
11,Sun,1969-11-23,,San Diego Chargers,,Denver Broncos,boxscore,462.0,2.0,363.0,3.0,45-24
11,Sun,1969-11-23,,Houston Oilers,@,Miami Dolphins,boxscore,445.0,2.0,141.0,5.0,32-7
11,Sun,1969-11-23,,Boston Patriots,,Buffalo Bills,boxscore,373.0,1.0,425.0,4.0,35-21
11,Sun,1969-11-23,,New York Jets,,Cincinnati Bengals,boxscore,328.0,1.0,158.0,3.0,40-7
12,Thu,1969-11-27,,San Diego Chargers,@,Houston Oilers,boxscore,325.0,3.0,212.0,3.0,21-17
12,Thu,1969-11-27,,Kansas City Chiefs,,Denver Broncos,boxscore,285.0,2.0,236.0,2.0,31-17
12,Sun,1969-11-30,,Buffalo Bills,,Cincinnati Bengals,boxscore,184.0,3.0,253.0,7.0,16-13
12,Sun,1969-11-30,,Boston Patriots,@,Miami Dolphins,boxscore,216.0,2.0,243.0,4.0,38-23
12,Sun,1969-11-30,,Oakland Raiders,@,New York Jets,boxscore,404.0,1.0,238.0,2.0,27-14
13,Sat,1969-12-06,,New York Jets,@,Houston Oilers,boxscore,213.0,4.0,220.0,9.0,34-26
13,Sun,1969-12-07,,Kansas City Chiefs,,Buffalo Bills,boxscore,277.0,3.0,237.0,2.0,22-19
13,Sun,1969-12-07,,Oakland Raiders,,Cincinnati Bengals,boxscore,544.0,3.0,210.0,2.0,37-17
13,Sun,1969-12-07,,San Diego Chargers,,Boston Patriots,boxscore,430.0,3.0,293.0,4.0,28-18
13,Sun,1969-12-07,,Miami Dolphins,,Denver Broncos,boxscore,222.0,3.0,244.0,4.0,27-24
14,Sat,1969-12-13,,Oakland Raiders,,Kansas City Chiefs,boxscore,277.0,2.0,194.0,0.0,10-6
14,Sun,1969-12-14,,Houston Oilers,,Boston Patriots,boxscore,449.0,3.0,256.0,1.0,27-23
14,Sun,1969-12-14,,San Diego Chargers,,Buffalo Bills,boxscore,537.0,1.0,238.0,2.0,45-6
14,Sun,1969-12-14,,Denver Broncos,,Cincinnati Bengals,boxscore,395.0,3.0,300.0,3.0,27-16
14,Sun,1969-12-14,,New York Jets,@,Miami Dolphins,boxscore,248.0,2.0,218.0,4.0,27-9
,,Playoffs,,,,,,,,,,0-0
Division,Sat,1969-12-20,,Kansas City Chiefs,@,New York Jets,boxscore,276.0,0.0,240.0,4.0,13-6
Division,Sun,1969-12-21,,Oakland Raiders,,Houston Oilers,boxscore,412.0,4.0,197.0,5.0,56-7
Champ,Sun,1970-01-04,,Kansas City Chiefs,@,Oakland Raiders,boxscore,207.0,4.0,233.0,4.0,17-7
SuperBowl,Sun,1970-01-11,,Kansas City Chiefs,N,Minnesota Vikings,boxscore,273.0,1.0,239.0,5.0,23-7
