Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,YdsW,TOW,YdsL,TOL,Combined_Pts
1,Sun,1969-09-21,,Atlanta Falcons,,San Francisco 49ers,boxscore,308.0,2.0,331.0,5.0,24  -  12
1,Sun,1969-09-21,,Green Bay Packers,,Chicago Bears,boxscore,286.0,0.0,204.0,2.0,17  -  0
1,Sun,1969-09-21,,Cleveland Browns,@,Philadelphia Eagles,boxscore,369.0,5.0,246.0,2.0,27  -  20
1,Sun,1969-09-21,,Los Angeles Rams,@,Baltimore Colts,boxscore,339.0,0.0,337.0,4.0,27  -  20
1,Sun,1969-09-21,,Dallas Cowboys,,St. Louis Cardinals,boxscore,362.0,2.0,257.0,3.0,24  -  3
1,Sun,1969-09-21,,Pittsburgh Steelers,,Detroit Lions,boxscore,237.0,4.0,236.0,4.0,16  -  13
1,Sun,1969-09-21,,New York Giants,,Minnesota Vikings,boxscore,320.0,2.0,327.0,2.0,24  -  23
1,Sun,1969-09-21,,Washington Redskins,@,New Orleans Saints,boxscore,303.0,1.0,328.0,1.0,26  -  20
2,Sun,1969-09-28,,Los Angeles Rams,,Atlanta Falcons,boxscore,269.0,2.0,178.0,3.0,17  -  7
2,Sun,1969-09-28,,St. Louis Cardinals,,Chicago Bears,boxscore,170.0,2.0,371.0,2.0,20  -  17
2,Sun,1969-09-28,,Cleveland Browns,,Washington Redskins,boxscore,339.0,2.0,275.0,0.0,27  -  23
2,Sun,1969-09-28,,Minnesota Vikings,,Baltimore Colts,boxscore,622.0,3.0,235.0,3.0,52  -  14
2,Sun,1969-09-28,,Dallas Cowboys,@,New Orleans Saints,boxscore,294.0,1.0,310.0,4.0,21  -  17
2,Sun,1969-09-28,,Detroit Lions,,New York Giants,boxscore,241.0,1.0,187.0,1.0,24  -  0
2,Sun,1969-09-28,,Green Bay Packers,,San Francisco 49ers,boxscore,269.0,3.0,376.0,1.0,14  -  7
2,Sun,1969-09-28,,Philadelphia Eagles,,Pittsburgh Steelers,boxscore,460.0,2.0,355.0,2.0,41  -  27
3,Sun,1969-10-05,,Baltimore Colts,@,Atlanta Falcons,boxscore,260.0,4.0,302.0,2.0,21  -  14
3,Sun,1969-10-05,,New York Giants,,Chicago Bears,boxscore,267.0,1.0,380.0,3.0,28  -  24
3,Sun,1969-10-05,,Detroit Lions,@,Cleveland Browns,boxscore,301.0,4.0,264.0,6.0,28  -  21
3,Sun,1969-10-05,,St. Louis Cardinals,@,Pittsburgh Steelers,boxscore,344.0,4.0,345.0,5.0,27  -  14
3,Sun,1969-10-05,,Dallas Cowboys,@,Philadelphia Eagles,boxscore,526.0,1.0,252.0,2.0,38  -  7
